post_key,content_type,item,slug,platform,text,hashtags,image,posted,posted_at_riyadh,buffer_post_id,buffer_channel_id,post_url,notes
travel::riyadh::instagram,travel,الرياض,riyadh,Instagram,"صراحة، الرياض مو وجهة تمشيها بعشوائية.

الزبدة: العاصمة السعودية، مدينة ضخمة تتحول بسرعة من عاصمة محافظة إلى وجهة ترفيهية عالمية.

نعطيك الخطة، التنقل، الحلال، ووش يستاهل وقتك. جرّبها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #الرياض,travel/images/instagram_1080x1350/riyadh.png,false,,,,,
travel::riyadh::tiktok,travel,الرياض,riyadh,TikTok,"الرياض في بالك؟ خذ الزبدة قبل لا تتوه.

الدرعية التاريخية، برج المملكة.

خططها بهدوء على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #الرياض,travel/images/tiktok_1080x1920/riyadh.png,false,,,,,
travel::riyadh::x,travel,الرياض,riyadh,X,"زبدة الرياض: العاصمة السعودية، مدينة ضخمة تتحول بسرعة من عاصمة محافظة إلى وجهة ترفيهية عالمية.

3-4 أيام، بدون تأشيرة. خططها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #الرياض,travel/images/x_1600x900/riyadh.png,false,,,,,
travel::taif::instagram,travel,الطائف,taif,Instagram,"صراحة، الطائف مو وجهة تمشيها بعشوائية.

الزبدة: الطائف وجهة مميزة تجمع بين ورد و عسل و مصطاف و جبال.

نعطيك الخطة، التنقل، الحلال، ووش يستاهل وقتك. جرّبها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #الطائف,travel/images/instagram_1080x1350/taif.png,false,,,,,
travel::taif::tiktok,travel,الطائف,taif,TikTok,"الطائف في بالك؟ خذ الزبدة قبل لا تتوه.

الورد الشهير عالمياً، سوق العسل الأصيل.

خططها بهدوء على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #الطائف,travel/images/tiktok_1080x1920/taif.png,false,,,,,
travel::taif::x,travel,الطائف,taif,X,"زبدة الطائف: الطائف وجهة مميزة تجمع بين ورد و عسل و مصطاف و جبال.

3-4 أيام، بدون تأشيرة. خططها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #الطائف,travel/images/x_1600x900/taif.png,false,,,,,
travel::bangkok::instagram,travel,بانكوك,bangkok,Instagram,"صراحة، بانكوك مو وجهة تمشيها بعشوائية.

الزبدة: مدينة لا تنام وأسعار لا تُصدق. بانكوك وجهة مفضلة للسعوديين — طعام شارع خرافي.

نعطيك الخطة، التنقل، الحلال، ووش يستاهل وقتك. جرّبها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #بانكوك,travel/images/instagram_1080x1350/bangkok.png,false,,,,,
travel::bangkok::tiktok,travel,بانكوك,bangkok,TikTok,"بانكوك في بالك؟ خذ الزبدة قبل لا تتوه.

القصر الكبير، معبد الفجر.

خططها بهدوء على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #بانكوك,travel/images/tiktok_1080x1920/bangkok.png,false,,,,,
travel::bangkok::x,travel,بانكوك,bangkok,X,"زبدة بانكوك: مدينة لا تنام وأسعار لا تُصدق. بانكوك وجهة مفضلة للسعوديين — طعام شارع خرافي.

5-7 أيام، بدون تأشيرة. خططها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #بانكوك,travel/images/x_1600x900/bangkok.png,false,,,,,
travel::dubai::instagram,travel,دبي,dubai,Instagram,"صراحة، دبي مو وجهة تمشيها بعشوائية.

الزبدة: مدينة المستقبل والفخامة. دبي تجمع بين ناطحات السحاب الأطول في العالم وتجارب ترفيهية لا تنتهي. بيئة حلال ممتازة ومألوفة.

نعطيك الخطة، التنقل، الحلال، ووش يستاهل وقتك. جرّبها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #دبي,travel/images/instagram_1080x1350/dubai.png,false,,,,,
travel::dubai::tiktok,travel,دبي,dubai,TikTok,"دبي في بالك؟ خذ الزبدة قبل لا تتوه.

أطول برج في العالم، دبي مول.

خططها بهدوء على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #دبي,travel/images/tiktok_1080x1920/dubai.png,false,,,,,
travel::dubai::x,travel,دبي,dubai,X,"زبدة دبي: مدينة المستقبل والفخامة. دبي تجمع بين ناطحات السحاب الأطول في العالم وتجارب ترفيهية لا تنتهي. بيئة حلال ممتازة ومألوفة.

3-4 أيام، بدون تأشيرة. خططها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #دبي,travel/images/x_1600x900/dubai.png,false,,,,,
travel::vietnam::instagram,travel,فيتنام,vietnam,Instagram,"صراحة، فيتنام مو وجهة تمشيها بعشوائية.

الزبدة: طبيعة مذهلة بأسعار رخيصة جداً. فيتنام وجهة جديدة للسعوديين، وخليج هالونج من عجائب الطبيعة.

نعطيك الخطة، التنقل، الحلال، ووش يستاهل وقتك. جرّبها على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #فيتنام,travel/images/instagram_1080x1350/vietnam.png,true,2026-06-12T22:38:02+03:00,6a2c600fda3868703ac08f09,6a23e0dec687a22dd4680c8d,https://www.instagram.com/p/DZf3Jq4FT-O/,Posted via Buffer shareNow; status sent.
travel::vietnam::tiktok,travel,فيتنام,vietnam,TikTok,"فيتنام في بالك؟ خذ الزبدة قبل لا تتوه.

أجمل خليج في العالم، رحلة ليلية، ومدينة هوي آن.

خططها بهدوء على app.alzbdh.com",#زبدة #صراحة #يستاهل #زبدة_السفر #رحلات_الصيف #فيتنام,travel/images/tiktok_1080x1920/vietnam.png,true,2026-06-12T22:40:07+03:00,6a2c602eda3868703ac08fe8,67365353da2e3cb64c9ccb65,https://tiktok.com/@alzbdh0/video/7650595614111042824,Posted via Buffer shareNow; status sent.
